id,signal_key,entry_time,exit_time,direction,entry_price,exit_price,stop_loss,size,pnl_r,pnl_pct,exit_reason,confirmations,ai_score
226,13561-long,2026-05-10T10:01:00,2026-05-10T10:02:00,long,80834.0,80818.48203248209,80818.48203248209,0.644414,-1.0,-1.0,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'momentum_candle', 'rsi', 'macd', 'vwap', 'mtf_confirmation', 'breaker_block', 'mitigation_block', 'institutional_zone']",68.24
227,13613-long,2026-05-10T10:53:00,2026-05-10T11:02:00,long,80861.77,80952.44,80934.71000832843,0.54747,1.9,1.9,tp3_full_close,"['trend_ema', 'structure', 'order_block', 'fvg', 'premium_discount', 'rsi', 'macd', 'vwap', 'mtf_confirmation', 'breaker_block', 'mitigation_block', 'institutional_zone']",69.71
228,13676-long,2026-05-10T11:56:00,2026-05-10T11:57:00,long,80855.3,80838.81986224871,80838.81986224871,0.606791,-1.0,-1.0,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'momentum_candle', 'rsi', 'macd', 'vwap', 'mtf_confirmation', 'inducement', 'breaker_block', 'mitigation_block', 'institutional_zone']",70.29
229,13693-long,2026-05-10T12:13:00,2026-05-10T12:19:00,long,80865.05,80868.4801672171,80868.4801672171,0.557879,0.5148170908795059,0.5148170908795059,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'momentum_candle', 'rsi', 'macd', 'vwap', 'mtf_confirmation', 'session_quality', 'breaker_block', 'mitigation_block', 'institutional_zone']",74.41
230,13708-long,2026-05-10T12:28:00,2026-05-10T12:34:00,long,80901.5,80916.62104144615,80916.62104144615,0.479055,0.8346289015553576,0.8346289015553576,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'rsi', 'macd', 'adx', 'vwap', 'mtf_confirmation', 'session_quality', 'breaker_block', 'mitigation_block', 'institutional_zone']",74.12
231,13754-long,2026-05-10T13:14:00,2026-05-10T13:17:00,long,80925.3,80902.81363456679,80902.81363456679,0.444714,-1.0,-1.0,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'premium_discount', 'rsi', 'macd', 'vwap', 'volume_spike', 'rvol', 'mtf_confirmation', 'session_quality', 'breaker_block', 'mitigation_block', 'fake_breakout', 'institutional_zone']",70.59
232,13784-long,2026-05-10T13:44:00,2026-05-10T13:52:00,long,80984.7,80957.91917188138,80957.91917188138,0.373401,-1.0,-1.0,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'premium_discount', 'momentum_candle', 'rsi', 'macd', 'adx', 'vwap', 'volume_spike', 'rvol', 'mtf_confirmation', 'session_quality', 'breaker_block', 'mitigation_block', 'institutional_zone']",68.24
233,13854-long,2026-05-10T14:54:00,2026-05-10T15:04:00,long,80981.8,81048.74,81014.02013969529,0.260111,1.9,1.9,tp3_full_close,"['trend_ema', 'structure', 'order_block', 'fvg', 'premium_discount', 'rsi', 'macd', 'adx', 'vwap', 'mtf_confirmation', 'session_quality', 'breaker_block', 'mitigation_block', 'fake_breakout', 'institutional_zone']",69.41
234,13896-long,2026-05-10T15:36:00,2026-05-10T15:40:00,long,81070.01,81161.62,81126.04768498144,0.273824,1.9,1.9,tp3_full_close,"['trend_ema', 'structure', 'order_block', 'fvg', 'premium_discount', 'momentum_candle', 'rsi', 'macd', 'vwap', 'volume_spike', 'rvol', 'mtf_confirmation', 'inducement', 'breaker_block', 'mitigation_block', 'institutional_zone']",69.12
235,13911-long,2026-05-10T15:51:00,2026-05-10T15:53:00,long,81366.06,81366.98720808377,81366.98720808377,0.133478,0.407425708360937,0.407425708360937,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'premium_discount', 'rsi', 'macd', 'adx', 'vwap', 'mtf_confirmation', 'breaker_block', 'mitigation_block', 'fake_breakout']",71.76
236,13970-long,2026-05-10T16:50:00,2026-05-10T17:01:00,long,81324.07,81358.19168026622,81358.19168026622,0.235126,0.88137282338084,0.88137282338084,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'rsi', 'macd', 'vwap', 'mtf_confirmation', 'breaker_block', 'mitigation_block']",70.29
237,13985-long,2026-05-10T17:05:00,2026-05-10T17:06:00,long,81423.34,81387.43413978152,81387.43413978152,0.278506,-1.0,-1.0,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'premium_discount', 'momentum_candle', 'rsi', 'macd', 'adx', 'vwap', 'mtf_confirmation', 'breaker_block', 'mitigation_block']",70.29
